GEOID,Percent low income,Margin of Error,Lower bound,Upper bound,Designation Change
340010002001,0.4600267976775346,0.2531057569165981,0.2069210407609365,0.7131325545941327,4
340010002002,0.3795620437956204,0.2318051246009719,0.1477569191946485,0.6113671683965923,4
340010003003,0.4725146198830409,0.2082300273338738,0.2642845925491671,0.6807446472169147,4
340010011001,0.4869281045751634,0.2228781982935335,0.2640499062816299,0.709806302868697,4
340010012002,0.370499419279907,0.2050678857737831,0.1654315335061238,0.57556730505369,4
340010012003,0.4795698924731183,0.2726745202617571,0.2068953722113612,0.7522444127348754,4
340010102003,0.4164037854889589,0.2558466545581437,0.1605571309308152,0.6722504400471025,4
340010105033,0.4305722288915566,0.1880099555933611,0.2425622732981955,0.6185821844849178,4
340010112024,0.44295729764181,0.1480920580675072,0.2948652395743028,0.5910493557093173,4
340010114032,0.3843730308758664,0.1523249510050803,0.232048079870786,0.5366979818809468,4
340010116002,0.3802345058626466,0.1420589866747642,0.2381755191878824,0.5222934925374108,4
340010117021,0.3780096308186196,0.1869735707885752,0.1910360600300444,0.5649832016071948,4
340010117022,0.4163742690058479,0.1387444985469777,0.2776297704588701,0.5551187675528256,4
340010117032,0.3502262443438914,0.134202571833743,0.2160236725101483,0.4844288161776344,4
340010117033,0.3812038014783526,0.2647687603084626,0.11643504116989,0.6459725617868152,4
340010117042,0.533901588531577,0.2176907615002764,0.3162108270313006,0.7515923500318533,4
340010119021,0.4041193181818182,0.1983096131050938,0.2058097050767244,0.602428931286912,4
340010120001,0.4892840857273142,0.1621417031030126,0.3271423826243016,0.6514257888303268,4
340010121001,0.4612462006079028,0.1509315663287072,0.3103146342791956,0.61217776693661,4
340010122002,0.45565749235474,0.1592935657544818,0.2963639266002582,0.6149510581092218,4
340010132013,0.4598930481283422,0.1923702288611654,0.2675228192671768,0.6522632769895076,4
340019834001,0.4399999999999999,0.4849053652542906,-0.0449053652542907,0.9249053652542903,4
340030040022,0.385640266469282,0.176113933737711,0.209526332731571,0.5617542002069931,4
340030050004,0.3649906890130353,0.2782588164334998,0.0867318725795354,0.643249505446535,4
340030062013,0.5156838143036386,0.2153951660566225,0.3002886482470161,0.7310789803602611,4
340030063011,0.429777436684574,0.2209459616718877,0.2088314750126863,0.6507233983564618,4
340030063013,0.4994635193133047,0.2736654905356094,0.2257980287776952,0.7731290098489141,4
340030063022,0.3512569832402235,0.1970619764340701,0.1541950068061533,0.5483189596742936,4
340030112003,0.4171270718232044,0.1888782273647721,0.2282488444584323,0.6060052991879765,4
340030112004,0.5219033232628398,0.2305111536724858,0.291392169590354,0.7524144769353256,4
340030120013,0.3594961240310077,0.1619377198294637,0.197558404201544,0.5214338438604714,4
340030130023,0.449814126394052,0.3326554136433678,0.1171587127506841,0.7824695400374198,4
340030152001,0.4327102803738317,0.4040741476586862,0.0286361327151454,0.8367844280325178,4
340030152003,0.3713080168776371,0.2931009272713868,0.0782070896062502,0.664408944149024,4
340030153002,0.4605077574047954,0.256037100657225,0.2044706567475703,0.7165448580620204,4
340030153004,0.5212053571428572,0.2090003321096521,0.3122050250332051,0.7302056892525093,4
340030155002,0.5214752567693743,0.1951064066553165,0.3263688501140578,0.7165816634246909,4
340030155004,0.4735042735042735,0.3781283179944988,0.0953759555097746,0.8516325914987724,4
340030181011,0.4768985661178969,0.3047939813068313,0.1721045848110656,0.7816925474247282,4
340030181012,0.4224672639558925,0.2870089963889589,0.1354582675669336,0.7094762603448515,4
340030181021,0.4010067114093959,0.3045422738176684,0.0964644375917275,0.7055489852270643,4
340030181022,0.4161490683229814,0.2409156374920209,0.1752334308309604,0.6570647058150023,4
340030182001,0.5492730210016155,0.3157255246208108,0.2335474963808046,0.8649985456224263,4
340030192031,0.4030797101449275,0.1442085349027883,0.2588711752421392,0.5472882450477158,4
340030192042,0.3658008658008658,0.1810373788372758,0.18476348696359,0.5468382446381416,4
340030193041,0.3542510121457489,0.1924673254793195,0.1617836866664294,0.5467183376250684,4
340030211011,0.4804270462633452,0.1814580798300934,0.2989689664332517,0.6618851260934386,4
340030211013,0.4448484848484848,0.2698548421265052,0.1749936427219796,0.7147033269749901,4
340030211014,0.4152271273192578,0.1898116382706248,0.225415489048633,0.6050387655898826,4
340030212002,0.4284116331096197,0.2579509490746589,0.1704606840349608,0.6863625821842786,4
340030212005,0.379110251450677,0.2962480849859083,0.0828621664647686,0.6753583364365854,4
340030213003,0.6060126582278481,0.261774993802586,0.3442376644252621,0.8677876520304342,4
340030214003,0.4741955069823922,0.2198373272159734,0.2543581797664188,0.6940328341983656,4
340030214004,0.3883211678832117,0.2490062244914264,0.1393149433917853,0.6373273923746381,4
340030215003,0.3526615969581749,0.1743216905667925,0.1783399063913824,0.5269832875249674,4
340030215005,0.3668430335097001,0.1949306769139571,0.171912356595743,0.5617737104236572,4
340030215006,0.4219001610305958,0.143141417420183,0.2787587436104128,0.5650415784507787,4
340030216002,0.3957759412304866,0.1980691724003462,0.1977067688301404,0.5938451136308328,4
340030216004,0.3842832469775474,0.1595686875825709,0.2247145593949765,0.5438519345601183,4
340030231002,0.3771186440677966,0.1363088632784452,0.2408097807893514,0.5134275073462418,4
340030233031,0.448441247002398,0.2117125549778097,0.2367286920245883,0.6601538019802077,4
340030234011,0.4659685863874345,0.1911041432350021,0.2748644431524324,0.6570727296224366,4
340030234021,0.5185676392572944,0.2625448011084322,0.2560228381488622,0.7811124403657266,4
340030234023,0.4305204648812532,0.2294013910337727,0.2011190738474804,0.6599218559150258,4
340030235012,0.5067513899920573,0.3039916934717073,0.2027596965203499,0.8107430834637646,4
340030235021,0.4234511008704557,0.1984637897856786,0.224987311084777,0.6219148906561343,4
340030235022,0.5021779713752335,0.2685933752162588,0.2335845961589746,0.7707713465914923,4
340030236021,0.4524375743162901,0.117152299004609,0.3352852753116811,0.569589873320899,4
340030236022,0.4730443974630021,0.2184826908271087,0.2545617066358934,0.6915270882901108,4
340030251001,0.3607594936708861,0.3066637534348704,0.0540957402360157,0.6674232471057565,4
340030251002,0.4488888888888889,0.3580716175908816,0.0908172712980073,0.8069605064797705,4
340030251005,0.4618834080717489,0.1595190502960025,0.3023643577757464,0.6214024583677513,4
340030251006,0.4257206208425721,0.2274258165166506,0.1982948043259215,0.6531464373592227,4
340030280011,0.38866930171278,0.1609055583407818,0.2277637433719982,0.5495748600535618,4
340030280022,0.4349540078843626,0.1758284196408051,0.2591255882435575,0.6107824275251676,4
340030291002,0.4057553956834532,0.2580268584787482,0.147728537204705,0.6637822541622014,4
340030292002,0.4146743610882111,0.2279100976169019,0.1867642634713092,0.642584458705113,4
340030301001,0.3575129533678757,0.239707528159708,0.1178054252081677,0.5972204815275837,4
340030301005,0.5728643216080402,0.3234738770626262,0.249390444545414,0.8963381986706664,4
340030302022,0.5309503051438536,0.2389734170093978,0.2919768881344557,0.7699237221532513,4
340030303001,0.3753336892685531,0.2116283347769882,0.1637053544915649,0.5869620240455413,4
340030303002,0.4846625766871165,0.2585471895190338,0.2261153871680826,0.7432097662061503,4
340030303005,0.3854818523153942,0.1308075911745022,0.254674261140892,0.5162894434898964,4
340030304023,0.4922360248447205,0.2447417097326154,0.2474943151121051,0.7369777345773358,4
340030361002,0.3682719546742209,0.1547938274366685,0.2134781272375524,0.5230657821108894,4
340030362002,0.5394736842105263,0.1966211304971933,0.342852553713333,0.7360948147077196,4
340030381004,0.4811715481171548,0.2539090656599312,0.2272624824572235,0.735080613777086,4
340030382003,0.3609641387419166,0.191581642247949,0.1693824964939675,0.5525457809898655,4
340030411001,0.3821917808219178,0.2361241194817068,0.1460676613402109,0.6183159003036246,4
340030411004,0.3871698113207547,0.2651356531747449,0.1220341581460097,0.6523054644954995,4
340030421023,0.4100378787878788,0.3620293808200952,0.0480084979677835,0.7720672596079741,4
340030441002,0.354337899543379,0.2615847532691731,0.0927531462742059,0.6159226528125521,4
340030452003,0.417824074074074,0.1894162311906909,0.2284078428833831,0.6072403052647649,4
340030513003,0.3680555555555556,0.2408449914332616,0.1272105641222939,0.6089005469888171,4
